Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,3847.120117,4340.700195,3787.229980,4329.120117,4329.120117,13038720000
2015-08-31,4299.879883,4324.740234,4121.830078,4184.720215,4184.720215,9399880000
2015-09-07,4267.399902,4352.959961,4242.470215,4323.229980,4323.229980,7261310000
2015-09-14,4334.859863,4450.660156,4293.770020,4323.859863,4323.859863,9885240000
2015-09-21,4343.770020,4372.419922,4198.109863,4224.740234,4224.740234,9717090000
2015-09-28,4206.680176,4267.450195,4053.120117,4267.450195,4267.450195,11396720000
2015-10-05,4296.540039,4378.259766,4273.700195,4370.009766,4370.009766,10028720000
2015-10-12,4378.640137,4438.750000,4328.959961,4438.620117,4438.620117,8609530000
2015-10-19,4428.060059,4645.959961,4409.899902,4624.089844,4624.089844,9561320000
2015-10-26,4621.140137,4681.229980,4606.660156,4648.830078,4648.830078,9831360000
2015-11-02,4658.790039,4737.120117,4652.450195,4707.229980,4707.229980,10133840000
2015-11-09,4687.350098,4694.270020,4499.149902,4502.140137,4502.140137,9251210000
2015-11-16,4494.560059,4691.589844,4486.089844,4686.359863,4686.359863,9259030000
2015-11-23,4689.979980,4706.620117,4621.629883,4680.470215,4680.470215,5946230000
2015-11-30,4692.569824,4739.750000,4579.910156,4716.120117,4716.120117,10305380000
2015-12-07,4718.549805,4720.819824,4534.049805,4537.560059,4537.560059,9659060000
2015-12-14,4535.560059,4681.129883,4478.250000,4514.830078,4514.830078,11929810000
2015-12-21,4547.919922,4635.589844,4519.819824,4622.770020,4622.770020,5528440000
2015-12-28,4610.410156,4702.740234,4580.129883,4593.270020,4593.270020,5379130000
2016-01-04,4485.060059,4522.120117,4264.810059,4270.779785,4270.779785,11155760000
2016-01-11,4300.970215,4359.500000,4085.790039,4141.080078,4141.080078,12455970000
2016-01-18,4199.560059,4260.549805,3992.909912,4259.770020,4259.770020,10199770000
2016-01-25,4245.470215,4279.169922,4111.930176,4279.169922,4279.169922,11055630000
2016-02-01,4254.410156,4301.629883,4008.449951,4024.469971,4024.469971,11314920000
2016-02-08,3947.989990,4045.479980,3888.780029,4019.189941,4019.189941,12411760000
2016-02-15,4077.330078,4212.580078,4049.879883,4164.089844,4164.089844,8274000000
2016-02-22,4203.600098,4275.830078,4088.120117,4235.620117,4235.620117,9032710000
2016-02-29,4228.569824,4356.339844,4200.149902,4329.000000,4329.000000,10165440000
2016-03-07,4303.810059,4361.830078,4232.080078,4361.830078,4361.830078,9605260000
2016-03-14,4347.939941,4420.879883,4339.859863,4410.830078,4410.830078,9824810000
2016-03-21,4403.089844,4450.759766,4374.709961,4405.529785,4405.529785,6529050000
2016-03-28,4415.040039,4534.319824,4384.270020,4532.080078,4532.080078,8491830000
2016-04-04,4526.390137,4544.589844,4459.560059,4474.930176,4474.930176,8691280000
2016-04-11,4496.259766,4569.729980,4435.049805,4543.160156,4543.160156,8571870000
2016-04-18,4535.209961,4574.379883,4440.140137,4474.189941,4474.189941,9054970000
2016-04-25,4459.669922,4490.060059,4307.100098,4341.299805,4341.299805,9883930000
2016-05-02,4350.830078,4386.979980,4282.000000,4330.169922,4330.169922,9564750000
2016-05-09,4331.660156,4407.930176,4312.879883,4326.529785,4326.529785,8872810000
2016-05-16,4335.330078,4395.700195,4284.370117,4362.899902,4362.899902,9377250000
2016-05-23,4364.729980,4512.540039,4353.359863,4512.540039,4512.540039,8703080000
2016-05-30,4513.850098,4531.350098,4480.799805,4509.790039,4509.790039,7509330000
2016-06-06,4517.879883,4536.549805,4447.330078,4461.049805,4461.049805,8558780000
2016-06-13,4436.120117,4461.270020,4362.160156,4374.379883,4374.379883,10100200000
2016-06-20,4424.109863,4467.479980,4274.540039,4285.700195,4285.700195,11309470000
2016-06-27,4247.709961,4453.859863,4179.740234,4437.450195,4437.450195,10766600000
2016-07-04,4414.350098,4529.720215,4375.720215,4528.359863,4528.359863,7186460000
2016-07-11,4544.330078,4607.180176,4544.330078,4589.830078,4589.830078,8487020000
2016-07-18,4595.060059,4670.540039,4591.830078,4666.069824,4666.069824,8676950000
2016-07-25,4662.899902,4743.250000,4648.919922,4730.229980,4730.229980,9954480000
2016-08-01,4734.439941,4799.859863,4689.549805,4791.209961,4791.209961,9865790000
2016-08-08,4791.100098,4813.359863,4770.220215,4807.080078,4807.080078,7953300000
2016-08-15,4814.770020,4837.669922,4772.430176,4806.140137,4806.140137,8271270000
2016-08-22,4797.950195,4836.450195,4758.100098,4783.689941,4783.689941,7924990000
2016-08-29,4787.930176,4816.700195,4750.240234,4798.740234,4798.740234,7806150000
2016-09-05,4806.660156,4839.589844,4681.540039,4681.540039,4681.540039,7704880000
2016-09-12,4656.589844,4826.020020,4656.509766,4818.049805,4818.049805,10946550000
2016-09-19,4833.839844,4895.500000,4787.439941,4858.910156,4858.910156,9129430000
2016-09-26,4830.169922,4889.229980,4811.279785,4875.700195,4875.700195,9207020000
2016-10-03,4864.629883,4891.500000,4840.930176,4864.520020,4864.520020,8367060000
2016-10-10,4887.729980,4904.720215,4760.069824,4808.479980,4808.479980,8081560000
2016-10-17,4808.470215,4860.680176,4790.450195,4851.859863,4851.859863,7836950000
2016-10-24,4884.160156,4911.759766,4794.069824,4805.589844,4805.589844,8652020000
2016-10-31,4821.310059,4823.919922,4647.589844,4660.459961,4660.459961,9814630000
2016-11-07,4737.979980,4855.790039,4685.740234,4751.950195,4751.950195,11744380000
2016-11-14,4752.609863,4840.810059,4677.410156,4808.040039,4808.040039,10523200000
2016-11-21,4822.029785,4884.629883,4819.569824,4870.020020,4870.020020,6016930000
2016-11-28,4861.729980,4896.569824,4721.410156,4739.370117,4739.370117,9592730000
2016-12-05,4762.339844,4897.240234,4743.529785,4895.899902,4895.899902,10165370000
